x,alpha0.1,alpha0.5,alpha1.0,alpha2.0,alpha5.0,alpha10.0
-0.4199999999999986,-0.42115145961363976,-0.44786586361908753,-0.5211836631111584,-0.7113998358585933,-0.9705400575136565,-0.9995503705799872
-0.4099999999999986,-0.41113540936102116,-0.4374989210430569,-0.5100783365761845,-0.7002599186897897,-0.9674828445754174,-0.9994508478078409
-0.3999999999999986,-0.40111853821881943,-0.4271109979884394,-0.4988863941299622,-0.6888151169032151,-0.9641151176188637,-0.9993293038586095
-0.38999999999999857,-0.3911008661222854,-0.41670255165451103,-0.4876090828329254,-0.6770622744119577,-0.9604065893563335,-0.9991808697889584
-0.37999999999999856,-0.381082413013062,-0.40627404310515464,-0.4762477032440842,-0.6649985689568411,-0.9563242882966925,-0.9989996019040241
-0.36999999999999855,-0.37106319883902633,-0.395825937193327,-0.4648036092566937,-0.6526215374092866,-0.9518323794874424,-0.998778245398402
-0.35999999999999854,-0.36104324355413064,-0.385358702484038,-0.4532782078695079,-0.6399291012281473,-0.9468919866024339,-0.9985079464484831
-0.34999999999999853,-0.3510225671182436,-0.37487281117586563,-0.4416729588926473,-0.6269195919370175,-0.9414610191447577,-0.9981779017259947
-0.3399999999999985,-0.3410011894969925,-0.3643687390210326,-0.42998937458722397,-0.6135917764772808,-0.935494009471526,-0.9977749320474141
-0.3299999999999985,-0.33097913066160334,-0.35384696524407144,-0.4182290192379968,-0.5999448822812908,-0.9289419654254838,-0.9972829642102488
-0.3199999999999985,-0.3209564105887424,-0.34330797245910255,-0.40639350865845403,-0.5859786218997967,-0.9217522455813124,-0.9966824019482822
-0.3099999999999985,-0.3109330492603574,-0.33275224658575736,-0.3944845096278586,-0.5716932170081698,-0.9138684654790408,-0.9959493633275094
-0.2999999999999985,-0.3009090666635181,-0.3221802767637714,-0.3825037392599289,-0.5570894216074153,-0.9052304447106139,-0.9950547577886518
-0.2899999999999985,-0.2908844827902573,-0.3115925552662815,-0.3704529643029716,-0.5421685442284888,-0.8957742063227744,-0.9939631714480046
-0.2799999999999985,-0.2808593176374115,-0.3009895774118533,-0.3583340003714291,-0.5269324689423756,-0.8854320416574051,-0.9926315242930599
-0.26999999999999846,-0.2708335912064615,-0.2903718414752742,-0.3461487111089568,-0.5113836749738534,-0.8741326554050424,-0.9910074577633546
-0.25999999999999845,-0.2608073235033731,-0.27973984859714374,-0.33389900728329625,-0.4955252547141094,-0.8618014072075684,-0.9890274062781738
-0.24999999999999845,-0.2507805345384375,-0.2690941026922927,-0.32158684581336666,-0.4793609299265729,-0.8483606674899007,-0.9866143022185572
-0.23999999999999844,-0.24075324432611173,-0.2584351103570679,-0.30921422872915877,-0.46289506594166313,-0.8337303061700984,-0.9836748617486897
-0.22999999999999843,-0.23072547288485917,-0.2477633807755151,-0.29678320206516623,-0.44613268363976955,-0.8178283332968774,-0.9800964003064493
-0.21999999999999842,-0.22069724023698953,-0.23707942562449763,-0.2842958546882589,-0.42907946902784777,-0.8005717102594054,-0.9757431340537638
-0.2099999999999984,-0.2106685664084993,-0.22638375897778618,-0.27175431706105707,-0.4117417802236092,-0.78187734873921,-0.970451940613954
-0.1999999999999984,-0.20063947142891195,-0.21567689720915717,-0.25916075994202675,-0.3941266516724975,-0.7616633117378051,-0.9640275840498337
-0.1899999999999984,-0.19060997533111776,-0.20495935889453745,-0.24651739302367834,-0.3762417954365194,-0.7398502265208868,-0.9562374620696423
-0.17999999999999838,-0.18058009815121412,-0.19423166471323458,-0.2338264635104054,-0.3580955994105151,-0.7163629128979466,-0.946806016749292
-0.16999999999999837,-0.1705498599283454,-0.18349433734829035,-0.22109025463765913,-0.33969712234057414,-0.6911322216926392,-0.9354090744591406
-0.15999999999999837,-0.16051928070454285,-0.1727479013859994,-0.2083110841343063,-0.3210560855409283,-0.664097067450792,-0.9216685582058698
-0.14999999999999836,-0.15048838052456467,-0.16199288321463157,-0.19549130263016873,-0.30218286122963134,-0.6352066264413347,-0.9051482573761628
-0.13999999999999835,-0.14045717943573557,-0.15122981092239982,-0.18263329201088987,-0.2830884574294718,-0.6044226561179248,-0.8853516518519505
-0.12999999999999834,-0.1304256974877868,-0.14045921419471538,-0.16973946372241486,-0.2637844994086048,-0.571721875994433,-0.8617231628655898
-0.11999999999999833,-0.12039395473269582,-0.1296816242107717,-0.1568122570275091,-0.24428320766504835,-0.5370983332372546,-0.8336546104487307
-0.10999999999999832,-0.11036197122452596,-0.11889757353949977,-0.14385413721687126,-0.22459737249010797,-0.500565660418486,-0.8004990250605266
-0.09999999999999831,-0.1003297670192662,-0.10810759603493818,-0.1308675937775225,-0.2047403251776033,-0.46215911933804177,-0.761594159095283
-0.0899999999999983,-0.09029736217467076,-0.09731222673106091,-0.11785513852127269,-0.18472590597804428,-0.42193731535968776,-0.716297873151816
-0.0799999999999983,-0.08026477675009872,-0.08651200173610685,-0.10481930367617785,-0.16456842892919987,-0.37998346313395454,-0.664036773005203
-0.06999999999999829,-0.07023203080635362,-0.07570745812645496,-0.09176263994400505,-0.14428264372635025,-0.3364060885752042,-0.6043677796085424
-0.05999999999999828,-0.060199144405523076,-0.06489913384009,-0.07868771452682016,-0.12388369482643848,-0.2913390647968061,-0.5370495692119064
-0.04999999999999827,-0.05016613761081821,-0.05408756756970296,-0.06559710912590032,-0.10338707800985725,-0.24494090199351812,-0.462117159164985
-0.03999999999999826,-0.04013303048641326,-0.04327329865547187,-0.052493417916252866,-0.08280859465125427,-0.1973932426899244,-0.3799489638214764
-0.02999999999999825,-0.030099843097285098,-0.03245686697756778,-0.039379245500093286,-0.06216430397606146,-0.1488985529772255,-0.29131261365245503
-0.01999999999999824,-0.020066595509052675,-0.021638812848431596,-0.02625720484269402,-0.04147047360202692,-0.09967704487573893,-0.1973753210385288
-0.009999999999998233,-0.01003330778781651,-0.01081967690486742,-0.013129915194068921,-0.020743528684474658,-0.049962911377252554,-0.09966799503580041
